Date,Name,Year,Letterboxd URI,Rating
2020-12-24,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,3.5
2021-01-06,Soul,2020,https://boxd.it/ioLA,4
2021-02-06,Phone Booth,2002,https://boxd.it/285G,3
2021-02-07,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2021-02-07,Back to the Future Part II,1989,https://boxd.it/2aYI,3.5
2021-03-08,Game Night,2018,https://boxd.it/fRtu,3
2021-06-28,Bo Burnham: Inside,2021,https://boxd.it/v2uy,5
2021-08-15,American Psycho,2000,https://boxd.it/28Vs,4
2021-08-15,Amélie,2001,https://boxd.it/2aUc,4
2021-08-15,Promising Young Woman,2020,https://boxd.it/loRE,4.5
2021-08-15,mother!,2017,https://boxd.it/dgRU,3.5
2021-08-15,Luca,2021,https://boxd.it/ipjC,2.5
2021-08-15,Edward Scissorhands,1990,https://boxd.it/2aZc,4
2021-08-15,Judas and the Black Messiah,2021,https://boxd.it/lsew,4
2021-08-15,Memories of Murder,2003,https://boxd.it/1TSo,4.5
2021-08-15,Unbreakable,2000,https://boxd.it/1XV2,3.5
2021-08-23,Free Guy,2021,https://boxd.it/k8dm,2.5
2021-08-31,Atlantis: The Lost Empire,2001,https://boxd.it/1Vck,3.5
2021-08-31,Little Monsters,2019,https://boxd.it/iarm,4
2021-09-10,Bruce Almighty,2003,https://boxd.it/2aCC,1
2021-12-29,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2022-01-26,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2022-01-26,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2022-02-01,Encanto,2021,https://boxd.it/kPRu,0.5
2022-02-12,Con Air,1997,https://boxd.it/28gO,5
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-06-24,Broker,2022,https://boxd.it/rDUU,3.5
2022-07-16,Flubber,1997,https://boxd.it/1YkQ,4
2022-07-24,The Worst Person in the World,2021,https://boxd.it/oyws,5
2022-07-31,Black Swan,2010,https://boxd.it/Sw0,4
2022-07-31,A Quiet Place Part II,2020,https://boxd.it/iTx0,3
2022-08-05,Kimi,2022,https://boxd.it/u7LW,2.5
2022-08-17,Last Night in Soho,2021,https://boxd.it/lbJC,3
2022-08-21,Licorice Pizza,2021,https://boxd.it/qTKY,3.5
2022-08-21,No Time to Die,2021,https://boxd.it/cPX2,3
2022-08-22,Fresh,2022,https://boxd.it/tCNi,3.5
2022-08-22,Where the Crawdads Sing,2022,https://boxd.it/psLS,3
2022-09-02,Nope,2022,https://boxd.it/sDCe,4.5
2022-09-30,Don't Worry Darling,2022,https://boxd.it/mViu,3.5
2022-10-10,See How They Run,2022,https://boxd.it/sNVq,5
2022-10-15,Alma,2009,https://boxd.it/1jIC,5
2022-11-03,Three Thousand Years of Longing,2022,https://boxd.it/kmoy,3
2022-11-21,Smile,2022,https://boxd.it/xjfE,1
2022-12-07,The Menu,2022,https://boxd.it/lScm,3
2022-12-09,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3
2022-12-29,Glass Onion,2022,https://boxd.it/oCkK,1.5
2023-01-13,M3GAN,2022,https://boxd.it/jxmG,4.5
2023-01-30,Orphan,2009,https://boxd.it/1CgM,5
2023-02-04,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4.5
2023-02-24,Cocaine Bear,2023,https://boxd.it/ugw2,4.5
2023-03-01,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2023-03-09,Pearl,2022,https://boxd.it/zPbe,5
2023-05-11,Renfield,2023,https://boxd.it/o8vy,2
2023-06-17,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-07-24,Saint Maud,2019,https://boxd.it/l8QA,5
2023-07-25,Persona,1966,https://boxd.it/29B4,5
2023-08-15,Violent Night,2022,https://boxd.it/xXBA,4
2023-11-10,X,2022,https://boxd.it/sxVa,4
2024-01-07,Saltburn,2023,https://boxd.it/z4eg,3
2024-01-28,Sick of Myself,2022,https://boxd.it/tEzs,3.5
2024-01-28,Anyone But You,2023,https://boxd.it/EzA8,3
2024-02-23,How to Have Sex,2023,https://boxd.it/EFIM,5
2024-03-01,Poor Things,2023,https://boxd.it/tNWU,5
2024-04-24,Frances Ha,2012,https://boxd.it/41Xg,4.5
2024-06-10,Beetlejuice,1988,https://boxd.it/24QI,5
2024-06-13,Play Me,2023,https://boxd.it/LCsU,3.5
2024-06-13,Other Side of the Box,2018,https://boxd.it/lXsa,3
2024-07-14,A Quiet Place: Day One,2024,https://boxd.it/sDAi,4
2024-09-11,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4.5
2024-11-01,Longlegs,2024,https://boxd.it/KzLM,4.5
2024-11-30,Society of the Snow,2023,https://boxd.it/y9aw,5
