artist_name,artist_url,artist_mbid,artist_image_small,artist_image_medium,artist_image_large,artist_image_extralarge,track_name,track_url,track_mbid,track_loved,track_streamable,track_image_small,track_image_medium,track_image_large,track_image_extralarge,album_name,album_mbid,date_uts,date_text
Sufjan Stevens,https://www.last.fm/music/Sufjan+Stevens,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,Should Have Known Better,https://www.last.fm/music/Sufjan+Stevens/_/Should+Have+Known+Better,f2c3aec7-6889-4f68-9838-79b038090138,0,0,https://lastfm.freetls.fastly.net/i/u/34s/7568c8fa48cc4fb6cf688fe89161f8a5.png,https://lastfm.freetls.fastly.net/i/u/64s/7568c8fa48cc4fb6cf688fe89161f8a5.png,https://lastfm.freetls.fastly.net/i/u/174s/7568c8fa48cc4fb6cf688fe89161f8a5.png,https://lastfm.freetls.fastly.net/i/u/300x300/7568c8fa48cc4fb6cf688fe89161f8a5.png,Carrie & Lowell,395152c9-1ba2-4c44-80ab-5d1488818344,1766920355,"28 Dec 2025, 11:12"
The Cure,https://www.last.fm/music/The+Cure,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,All I Ever Am - Mura Masa Remix,https://www.last.fm/music/The+Cure/_/All+I+Ever+Am+-+Mura+Masa+Remix,,0,0,https://lastfm.freetls.fastly.net/i/u/34s/5e729ab36cd3edf6eb7cb63a26c02054.jpg,https://lastfm.freetls.fastly.net/i/u/64s/5e729ab36cd3edf6eb7cb63a26c02054.jpg,https://lastfm.freetls.fastly.net/i/u/174s/5e729ab36cd3edf6eb7cb63a26c02054.jpg,https://lastfm.freetls.fastly.net/i/u/300x300/5e729ab36cd3edf6eb7cb63a26c02054.jpg,Mixes Of A Lost World,11d5ab46-00b8-4300-bd8e-a72407ae43bf,1766919925,"28 Dec 2025, 11:05"
Sufjan Stevens,https://www.last.fm/music/Sufjan+Stevens,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,Death With Dignity,https://www.last.fm/music/Sufjan+Stevens/_/Death+With+Dignity,0307b271-e9d6-45d7-b98d-318faee671e4,0,0,https://lastfm.freetls.fastly.net/i/u/34s/7568c8fa48cc4fb6cf688fe89161f8a5.png,https://lastfm.freetls.fastly.net/i/u/64s/7568c8fa48cc4fb6cf688fe89161f8a5.png,https://lastfm.freetls.fastly.net/i/u/174s/7568c8fa48cc4fb6cf688fe89161f8a5.png,https://lastfm.freetls.fastly.net/i/u/300x300/7568c8fa48cc4fb6cf688fe89161f8a5.png,Carrie & Lowell,395152c9-1ba2-4c44-80ab-5d1488818344,1766919908,"28 Dec 2025, 11:05"
Laura Marling,https://www.last.fm/music/Laura+Marling,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,Only the Strong,https://www.last.fm/music/Laura+Marling/_/Only+the+Strong,5192cfb9-4a6a-4b4d-971b-5fd845ab1839,0,0,https://lastfm.freetls.fastly.net/i/u/34s/af809ef2adf7685beb021884ef09bb26.jpg,https://lastfm.freetls.fastly.net/i/u/64s/af809ef2adf7685beb021884ef09bb26.jpg,https://lastfm.freetls.fastly.net/i/u/174s/af809ef2adf7685beb021884ef09bb26.jpg,https://lastfm.freetls.fastly.net/i/u/300x300/af809ef2adf7685beb021884ef09bb26.jpg,Song For Our Daughter,46020f1a-e4e5-4622-9359-60b981498f59,1766916791,"28 Dec 2025, 10:13"
Joy Crookes,https://www.last.fm/music/Joy+Crookes,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,Pass the Salt (feat. Vince Staples),https://www.last.fm/music/Joy+Crookes/_/Pass+the+Salt+(feat.+Vince+Staples),,0,0,https://lastfm.freetls.fastly.net/i/u/34s/790995583309e639504ed8b62dce1fe3.jpg,https://lastfm.freetls.fastly.net/i/u/64s/790995583309e639504ed8b62dce1fe3.jpg,https://lastfm.freetls.fastly.net/i/u/174s/790995583309e639504ed8b62dce1fe3.jpg,https://lastfm.freetls.fastly.net/i/u/300x300/790995583309e639504ed8b62dce1fe3.jpg,Pass the Salt (feat. Vince Staples),,1766916561,"28 Dec 2025, 10:09"
Tyla,https://www.last.fm/music/Tyla,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,Jump,https://www.last.fm/music/Tyla/_/Jump,,0,0,https://lastfm.freetls.fastly.net/i/u/34s/c8f4e25691c49ed7e990fabbc254d181.png,https://lastfm.freetls.fastly.net/i/u/64s/c8f4e25691c49ed7e990fabbc254d181.png,https://lastfm.freetls.fastly.net/i/u/174s/c8f4e25691c49ed7e990fabbc254d181.png,https://lastfm.freetls.fastly.net/i/u/300x300/c8f4e25691c49ed7e990fabbc254d181.png,JUMP,,1766916409,"28 Dec 2025, 10:06"
Bon Iver,https://www.last.fm/music/Bon+Iver,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,Towers,https://www.last.fm/music/Bon+Iver/_/Towers,dd86c6c0-aefb-4cd1-a4d7-3843d5efc902,0,0,https://lastfm.freetls.fastly.net/i/u/34s/e1bee58158a84d30cdd9ae3a8e8cc994.png,https://lastfm.freetls.fastly.net/i/u/64s/e1bee58158a84d30cdd9ae3a8e8cc994.png,https://lastfm.freetls.fastly.net/i/u/174s/e1bee58158a84d30cdd9ae3a8e8cc994.png,https://lastfm.freetls.fastly.net/i/u/300x300/e1bee58158a84d30cdd9ae3a8e8cc994.png,"Bon Iver, Bon Iver",168b955e-692e-4160-a70e-5dd10b78dcad,1766916208,"28 Dec 2025, 10:03"
Jamie xx,https://www.last.fm/music/Jamie+xx,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,F.U.,https://www.last.fm/music/Jamie+xx/_/F.U.,,0,0,https://lastfm.freetls.fastly.net/i/u/34s/1a88d5c6e0c39b6787a5f10496d71abb.jpg,https://lastfm.freetls.fastly.net/i/u/64s/1a88d5c6e0c39b6787a5f10496d71abb.jpg,https://lastfm.freetls.fastly.net/i/u/174s/1a88d5c6e0c39b6787a5f10496d71abb.jpg,https://lastfm.freetls.fastly.net/i/u/300x300/1a88d5c6e0c39b6787a5f10496d71abb.jpg,In Waves (Deluxe),,1766891737,"28 Dec 2025, 03:15"
Serengeti,https://www.last.fm/music/Serengeti,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,pokerfaceville,https://www.last.fm/music/Serengeti/_/pokerfaceville,640674ad-0e97-42eb-b5e2-7c0a9f9a95c3,0,0,https://lastfm.freetls.fastly.net/i/u/34s/52d72f499cfa408b0c9d7c544e700a48.png,https://lastfm.freetls.fastly.net/i/u/64s/52d72f499cfa408b0c9d7c544e700a48.png,https://lastfm.freetls.fastly.net/i/u/174s/52d72f499cfa408b0c9d7c544e700a48.png,https://lastfm.freetls.fastly.net/i/u/300x300/52d72f499cfa408b0c9d7c544e700a48.png,Palookaville,,1766891408,"28 Dec 2025, 03:10"
Wet Leg,https://www.last.fm/music/Wet+Leg,,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/64s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png,mangetout,https://www.last.fm/music/Wet+Leg/_/mangetout,dc1dc582-d8d5-4a6c-84b6-7e5680b8c890,0,0,https://lastfm.freetls.fastly.net/i/u/34s/7156c05ac1f14050eb2160d8ef9d7cc8.png,https://lastfm.freetls.fastly.net/i/u/64s/7156c05ac1f14050eb2160d8ef9d7cc8.png,https://lastfm.freetls.fastly.net/i/u/174s/7156c05ac1f14050eb2160d8ef9d7cc8.png,https://lastfm.freetls.fastly.net/i/u/300x300/7156c05ac1f14050eb2160d8ef9d7cc8.png,moisturizer,9509d2d8-986f-4b67-8b2e-4768fa4cbef7,1766891203,"28 Dec 2025, 03:06"
