Date,Name,Year,Letterboxd URI
2020-02-26,Parasite,2019,https://boxd.it/hTha
2020-04-03,Rebooted,2019,https://boxd.it/nhco
2020-04-08,Silver Linings Playbook,2012,https://boxd.it/2TTo
2020-04-11,Crazy Rich Asians,2018,https://boxd.it/gfnK
2020-08-22,Train to Busan,2016,https://boxd.it/dSQU
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-01-28,Sick of Myself,2022,https://boxd.it/tEzs
2025-11-30,Bugonia,2025,https://boxd.it/qeWY
